Song,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,valence,ratings
Gone My Way - KhoMha Remix,08Hghm2hJpCxJux9YuhCG0,0.00129,0.547,168750,0.895,0.107,5,0.288,-7.081,0.0683,128.022,0.0353,0
The Discovery,5NKK0t7lYlyDsT5auDYKmq,0.827,0.414,193000,0.127,0.822,0,0.0919,-22.097,0.0383,130.021,0.0354,0
Waiting like the Storm,1CIIzFfELXMwLyKaGdpTul,0.946,0.162,257625,0.0564,0.889,5,0.101,-20.696,0.0341,60.01,0.0361,0
Limitless,5QGNwI8U3o9mQg7RR3yOPj,0.404,0.238,165685,0.191,0.888,7,0.107,-20.242,0.0351,140.282,0.0365,0
Cleansing,6u1ymcw9MTK9mPGy8XdvEb,0.956,0.18,304217,0.0754,0.926,9,0.11,-26.645,0.0346,71.675,0.0366,0
Son of a Lady,1mc5ECVjhFQUMzdsvX9gwf,0.895,0.272,225233,0.337,0.713,9,0.0764,-13.724,0.0338,93.64,0.0374,0
Willet,6UesrqZXshkMjY07kVnlkU,0.967,0.425,179610,0.168,0.818,0,0.16,-14.064,0.0322,90.076,0.0376,0
Wild Trails,2urxHALnoeVxG82o57q0ny,0.742,0.213,218501,0.233,0.881,4,0.149,-14.347,0.0289,94.94,0.0378,0
This Reminds You - Satie Remix,7sJm369JitaQLnkymEMe7f,0.87,0.258,321146,0.0589,0.898,5,0.148,-23.782,0.0381,98.874,0.0378,0
Light Year,1C2JiKNMjv8FaZlrgwObBJ,0.99,0.301,234000,0.189,0.893,9,0.106,-16.072,0.0351,139.894,0.0379,0
Whitehaven,2WuNoTD5hLhu1yVgMarTFq,0.983,0.498,219000,0.18,0.928,4,0.0924,-19.819,0.0426,77.407,0.038,0
Balloon,6a9DN96EWRc56Lwl5YD7KL,0.987,0.408,143212,0.00518,0.929,5,0.12,-29.142,0.0355,72.291,0.0381,0
It's My Fault,3QP17SZh39ZVczQnopq9BE,0.815,0.647,195986,0.235,1.78E-05,8,0.233,-10.123,0.0389,129.85,0.0382,0
Path to Serenity,6FI69Qkt6C2yBTVLC8zq34,0.961,0.134,214277,0.0601,0.869,7,0.109,-19.866,0.0352,73.855,0.0388,0
Water Lillies,1sVIrkPZob1Ul6aIqy8n8z,0.848,0.234,228000,0.226,0.942,0,0.111,-15.991,0.0368,139.921,0.0388,0
London Thunder,4gkoh2vAD57fGEITzteaUh,0.641,0.489,254426,0.357,0.333,6,0.0838,-9.745,0.0259,92.009,0.0388,0
I Don't Trust That Bird of Prey,33gVbwdqw7aRX0Y2zM7qm3,0.605,0.52,210500,0.305,0.899,7,0.16,-14.38,0.0322,120.109,0.0389,0
Play The Ghost,0nL2bTth1UVQHWDDumMm3f,0.911,0.118,301291,0.0567,0.879,11,0.106,-19.274,0.0427,83.721,0.0391,0
Like We Do,1Qf07UNBIu1XolBnl7XTi8,0.0125,0.614,161992,0.96,0.687,2,0.366,-5.081,0.0465,128.019,0.0392,0
Klangfall - Piano Version,4pWowM3xMkRYgHsIJDf61f,0.993,0.394,353007,0.0807,0.944,0,0.0964,-25.987,0.0318,124.904,0.0394,0
Eden - Hunted Version,5zfsg3FNA03fCUZzW2a9Fr,0.965,0.158,257815,0.0963,0.105,0,0.0752,-18.225,0.0398,71.012,0.0395,0
Adagio For Strings,1RvDsjCBDTES3lPiEGNNMY,0.000877,0.349,197189,0.793,0.431,10,0.22,-6.748,0.0677,127.139,0.0398,0
Revitalize,1sPC2IR2UwzYUrItFRE1H3,0.95,0.597,198545,0.327,0.96,9,0.0966,-15.743,0.0342,109.99,0.0399,0
the frost,7l4b5JYnl1WwUfvJgKmUwr,0.956,0.259,254440,0.259,0.942,3,0.0923,-18.89,0.0594,123.693,0.0403,0
Mercy - Live,4BntWROKZB5E0Y0K3LoHSQ,0.916,0.211,326146,0.0838,0.41,10,0.102,-20.882,0.0398,90.249,0.0404,0
Glaciers,2No1A7ZuMaBGxz45jmA9Gw,0.733,0.0789,176373,0.16,0.786,7,0.0943,-18.144,0.0362,56.449,0.0409,0
Prelude 6 - Pt. 1,2R7BzSG2pPB99uJbU3lLmK,0.992,0.134,161266,0.0407,0.794,10,0.117,-31.537,0.0426,217.95,0.043,0
Den inre skogen,0Zl6KnmirT1PeGZvAZY9T1,0.924,0.532,229657,0.382,0.61,9,0.134,-17.683,0.0543,127.038,0.0455,0
The Dreamer,3XnQ3OqmfvP5Sh6gACEKnG,0.983,0.235,178148,0.0363,0.92,0,0.0823,-18.9,0.0335,160.704,0.0481,0
Kaolnite,4fItBSHKBcgKWixN1Idie5,0.622,0.247,180689,0.231,0.87,1,0.0878,-19.639,0.0328,174.014,0.0485,0
Adrift,3TNNGjgOQ7O8vwAlvlD9Fg,0.497,0.382,158117,0.333,0.918,7,0.106,-15.573,0.0367,84.974,0.0486,0
Kangaroo (Remastered),1HdIqEOl9MxoJNsz33VOvW,0.768,0.19,209093,0.167,0.164,3,0.126,-11.298,0.0291,169.636,0.0491,0
Cold Arms,7kpZ9isu48poYKpaAb0wiR,0.815,0.431,169906,0.144,1.10E-06,11,0.124,-12.07,0.039,137.683,0.0491,0
Morning Shimmer,24PDuLZfLOKtAgh4axr36e,0.58,0.449,218880,0.163,0.908,11,0.114,-16.409,0.0361,125.088,0.0501,0
Focus,3DZ7DFolE5U2xEGIzFjeGo,0.238,0.273,190526,0.161,0.481,4,0.133,-17.727,0.053,113.89,0.0503,0
Clear Skies,7bKMZYXVYzGMvnHiRDCmjy,0.94,0.421,162085,0.136,0.89,11,0.113,-23.521,0.0305,110.036,0.0505,0
City Lights,5OxyHotdy7y789r3UQcHAB,0.983,0.341,226266,0.0582,0.924,8,0.097,-23.103,0.0472,83.05,0.0514,0
No Time To Die,73SpzrcaHk0RQPFP73vqVR,0.917,0.38,242265,0.219,0.0104,4,0.0827,-13.273,0.0358,73.537,0.0517,0
Wave of Mutilation,1BEljQOZPNNjsC3nfIAHxS,0.842,0.481,149635,0.229,0.00205,6,0.105,-13.5,0.0342,92.014,0.0525,0
Hypnagogia Well,2jpL7mFOMzRnbaSj790BfQ,0.771,0.545,222000,0.253,0.922,2,0.108,-17.953,0.033,115.848,0.0529,0
Intermezzo No. 1 in E Minor,1HTYYXCKpMWiHRd7qIb6ui,0.995,0.31,174013,0.0987,0.86,4,0.714,-25.408,0.0444,106.205,0.0558,0
Event Horizon,7lSHfDPdyGdRyG234h5ToK,0.0665,0.464,310666,0.38,0.898,7,0.114,-8.052,0.0279,100.006,0.0558,0
Collapse Into Light,3jP962JoLAn9p4wCDdx4My,0.933,0.305,179500,0.229,0.904,1,0.104,-18.329,0.0334,121.599,0.0562,0
Mil Sonidos,11oVQ68B4PnVQHIY6svpXg,0.958,0.221,192000,0.183,0.821,6,0.102,-17.59,0.0362,117.321,0.057,0
Bloodbuzz Ohio,2pfkaHd8arhESSxyJAou6g,0.715,0.441,279967,0.268,1.49E-06,6,0.11,-8.173,0.0308,140.073,0.057,0
Jupiter 4,64BirkPW9F4XgzoLAiOBCP,0.0168,0.475,314080,0.498,0.492,10,0.137,-10.609,0.0303,88.882,0.0592,0
Falling,1ZMiCix7XSAbfAJlEZWMCp,0.839,0.567,240133,0.267,1.46E-06,4,0.089,-6.502,0.0299,110.011,0.0592,0
River,2mXnsGgq0K4qfcYmw0rccK,0.73,0.304,276960,0.317,0.00519,11,0.118,-10.52,0.0285,147.83,0.0596,0
Tomorrow,6TcYEIp0uV6lxkmt4FCqf5,0.964,0.325,208520,0.0809,0.839,5,0.118,-24.493,0.0527,178.307,0.0604,0
You Were Bored,5BIWF6L3DnPkcuEuZmLHDz,0.781,0.291,263080,0.419,0.00433,6,0.113,-10.33,0.0305,114.935,0.0613,0
Rebuscano,55VX26X342cWBM7akigws7,0.99,0.416,173319,0.0322,0.929,2,0.101,-29.145,0.0451,120.321,0.0614,0
"Gottes Zeit ist die allerbeste Zeit, BWV 106: 2a. Gottes Zeit, ist die allerbeste Zeit (Arr. For Piano Four Hands by György Kurtág)",7ANhXB1OJBaTb7kDoAJRLq,0.995,0.566,159866,0.00792,0.909,3,0.0874,-34.484,0.0445,61.167,0.0621,0
Out of the Deep,6HrPFcVFz9wTBqqIrpJ8iB,0.992,0.2,193207,0.0212,0.903,0,0.0929,-32.285,0.0499,74.852,0.0631,0
Presence,02QoKc20zzH9A8mf25NfPq,0.966,0.616,125500,0.292,0.927,2,0.0955,-16.837,0.0423,127.008,0.0633,0
Solitude,21UkknmSYISvDaQbaMIOgq,0.995,0.342,225829,0.0311,0.92,9,0.131,-26.999,0.0355,97.622,0.0634,0
