Song,id,danceability,energy,valence,ratings
Gone My Way - KhoMha Remix,08Hghm2hJpCxJux9YuhCG0,0.547,0.895,0.0353,0
The Discovery,5NKK0t7lYlyDsT5auDYKmq,0.414,0.127,0.0354,0
Waiting like the Storm,1CIIzFfELXMwLyKaGdpTul,0.162,0.0564,0.0361,0
Limitless,5QGNwI8U3o9mQg7RR3yOPj,0.238,0.191,0.0365,0
Cleansing,6u1ymcw9MTK9mPGy8XdvEb,0.18,0.0754,0.0366,0
Son of a Lady,1mc5ECVjhFQUMzdsvX9gwf,0.272,0.337,0.0374,0
Willet,6UesrqZXshkMjY07kVnlkU,0.425,0.168,0.0376,0
Wild Trails,2urxHALnoeVxG82o57q0ny,0.213,0.233,0.0378,0
This Reminds You - Satie Remix,7sJm369JitaQLnkymEMe7f,0.258,0.0589,0.0378,0
Light Year,1C2JiKNMjv8FaZlrgwObBJ,0.301,0.189,0.0379,0
Whitehaven,2WuNoTD5hLhu1yVgMarTFq,0.498,0.18,0.038,0
Balloon,6a9DN96EWRc56Lwl5YD7KL,0.408,0.00518,0.0381,0
It's My Fault,3QP17SZh39ZVczQnopq9BE,0.647,0.235,0.0382,0
Path to Serenity,6FI69Qkt6C2yBTVLC8zq34,0.134,0.0601,0.0388,0
Water Lillies,1sVIrkPZob1Ul6aIqy8n8z,0.234,0.226,0.0388,0
London Thunder,4gkoh2vAD57fGEITzteaUh,0.489,0.357,0.0388,0
I Don't Trust That Bird of Prey,33gVbwdqw7aRX0Y2zM7qm3,0.52,0.305,0.0389,0
Play The Ghost,0nL2bTth1UVQHWDDumMm3f,0.118,0.0567,0.0391,0
Like We Do,1Qf07UNBIu1XolBnl7XTi8,0.614,0.96,0.0392,0
Klangfall - Piano Version,4pWowM3xMkRYgHsIJDf61f,0.394,0.0807,0.0394,0
Eden - Hunted Version,5zfsg3FNA03fCUZzW2a9Fr,0.158,0.0963,0.0395,0
Adagio For Strings,1RvDsjCBDTES3lPiEGNNMY,0.349,0.793,0.0398,0
Revitalize,1sPC2IR2UwzYUrItFRE1H3,0.597,0.327,0.0399,0
the frost,7l4b5JYnl1WwUfvJgKmUwr,0.259,0.259,0.0403,0
Mercy - Live,4BntWROKZB5E0Y0K3LoHSQ,0.211,0.0838,0.0404,0
Glaciers,2No1A7ZuMaBGxz45jmA9Gw,0.0789,0.16,0.0409,0
Prelude 6 - Pt. 1,2R7BzSG2pPB99uJbU3lLmK,0.134,0.0407,0.043,0
Den inre skogen,0Zl6KnmirT1PeGZvAZY9T1,0.532,0.382,0.0455,0
The Dreamer,3XnQ3OqmfvP5Sh6gACEKnG,0.235,0.0363,0.0481,0
Kaolnite,4fItBSHKBcgKWixN1Idie5,0.247,0.231,0.0485,0
Adrift,3TNNGjgOQ7O8vwAlvlD9Fg,0.382,0.333,0.0486,0
Kangaroo (Remastered),1HdIqEOl9MxoJNsz33VOvW,0.19,0.167,0.0491,0
Cold Arms,7kpZ9isu48poYKpaAb0wiR,0.431,0.144,0.0491,0
Morning Shimmer,24PDuLZfLOKtAgh4axr36e,0.449,0.163,0.0501,0
Focus,3DZ7DFolE5U2xEGIzFjeGo,0.273,0.161,0.0503,0
Clear Skies,7bKMZYXVYzGMvnHiRDCmjy,0.421,0.136,0.0505,0
City Lights,5OxyHotdy7y789r3UQcHAB,0.341,0.0582,0.0514,0
No Time To Die,73SpzrcaHk0RQPFP73vqVR,0.38,0.219,0.0517,0
Wave of Mutilation,1BEljQOZPNNjsC3nfIAHxS,0.481,0.229,0.0525,0
Hypnagogia Well,2jpL7mFOMzRnbaSj790BfQ,0.545,0.253,0.0529,0
Intermezzo No. 1 in E Minor,1HTYYXCKpMWiHRd7qIb6ui,0.31,0.0987,0.0558,0
Event Horizon,7lSHfDPdyGdRyG234h5ToK,0.464,0.38,0.0558,0
Collapse Into Light,3jP962JoLAn9p4wCDdx4My,0.305,0.229,0.0562,0
Mil Sonidos,11oVQ68B4PnVQHIY6svpXg,0.221,0.183,0.057,0
Bloodbuzz Ohio,2pfkaHd8arhESSxyJAou6g,0.441,0.268,0.057,0
Jupiter 4,64BirkPW9F4XgzoLAiOBCP,0.475,0.498,0.0592,0
Falling,1ZMiCix7XSAbfAJlEZWMCp,0.567,0.267,0.0592,0
River,2mXnsGgq0K4qfcYmw0rccK,0.304,0.317,0.0596,0
Tomorrow,6TcYEIp0uV6lxkmt4FCqf5,0.325,0.0809,0.0604,0
You Were Bored,5BIWF6L3DnPkcuEuZmLHDz,0.291,0.419,0.0613,0
Rebuscano,55VX26X342cWBM7akigws7,0.416,0.0322,0.0614,0
"Gottes Zeit ist die allerbeste Zeit, BWV 106: 2a. Gottes Zeit, ist die allerbeste Zeit (Arr. For Piano Four Hands by György Kurtág)",7ANhXB1OJBaTb7kDoAJRLq,0.566,0.00792,0.0621,0
Out of the Deep,6HrPFcVFz9wTBqqIrpJ8iB,0.2,0.0212,0.0631,0
Presence,02QoKc20zzH9A8mf25NfPq,0.616,0.292,0.0633,0
Solitude,21UkknmSYISvDaQbaMIOgq,0.342,0.0311,0.0634,0
Panoramic Feelings (Piano Version),3hxqWxFfmbIYcrV0e7wSyL,0.25,0.00846,0.0638,0
Conversation,4THgqBGsTYJcNcQWCV92AP,0.242,0.137,0.0644,0
Monumental,6CKu6K0xvozAgFlQq44Z56,0.491,0.217,0.0647,0
Day 5: For Carol,3JjeC1epY5y2Jysxn5FVCB,0.485,0.497,0.065,0
Auburn Sky,42BtxDRqFTbE6Jb6rd9QOZ,0.265,0.035,0.0651,0
Wait For Me,6laq4MxNrh2ZKZGLhB7G0V,0.465,0.739,0.0652,0
Make Believe,56oqWZUaA8ZmHQCH3lCRI3,0.587,0.882,0.0653,0
What Should Have Been,0joCizO7Hg4JxL3o9mRAKA,0.322,0.149,0.0655,0
Water Colors,7rpGOF9MwCP2Oaz9yDO452,0.465,0.12,0.0659,0
Empty Street at Night,6CY6TBcuh13KEk34pMnZA8,0.211,0.0147,0.0667,0
Schloss,07EmFV0AOKNsbtNonzmMJj,0.438,0.073,0.0668,0
Lost,7nC2EOpMnpDT2DkvniimSm,0.389,0.1,0.0676,0
What You Love You Must Love Now,3L0fPX8biELkH57fF3Exkd,0.256,0.456,0.0682,0
0 Wilderness,44Co96UhNfnq258r2VybLE,0.186,0.271,0.0684,0
Tiptoeing,28nLvoHu6NbkHNPmoxR8uD,0.467,0.137,0.0687,0
Takeoff,4iKSrwTBu0vLSqmZUXSGXr,0.44,0.32,0.0694,0
On Another Ocean (January / June),2fgMzSoDaPrU4EYsrkAwVn,0.284,0.523,0.0697,0
mellow,1yJXNOEP2bq1N1691n37oS,0.609,0.157,0.0698,0
Fête sous les étoiles,55ux9bDGw3qTVfad3PxSTq,0.312,0.00811,0.0703,0
Tuesday,2GuchYit1FmdtXTxl6SbUE,0.323,0.0214,0.0703,0
Dew Drops,0NnFglDnuZH6qKuvhZpB0r,0.27,0.0384,0.0708,0
I dine øjne,07htwTiSZVnQfdl38siCIn,0.67,0.417,0.0708,0
Halfway There (feat. Lena Leon),3EKKIR8be1kfAAwaz1fzyS,0.59,0.888,0.0715,0
Desire Lines,63JP68VirmCXtWRoMTX8Xi,0.379,0.652,0.0724,0
Tu Vois,5ewE85NIsYxn02MhetYKqs,0.351,0.0077,0.0728,0
To Build A Home,54KFQB6N4pn926IUUYZGzK,0.264,0.122,0.0735,0
Raven's Feather - Piano Solo,7sBlA4bK7gpf2H42K6Y0H3,0.594,0.0624,0.0738,0
De Fléche,5vymVJ2WUlLnMeQqrgwQx8,0.435,0.333,0.074,0
Reality,3sqyZAk7dUY3U4ApoJcRzJ,0.651,0.836,0.0741,0
Bad Kingdom,7vCuaxRIKElwgjSAo5REkw,0.401,0.199,0.0744,0
Flying by Candlelight (ABGT300) - Above & Beyond Club Mix,0TEW7oRDKD2mjJQH507ni4,0.532,0.664,0.075,0
Used to Be,0p44zFo2S1c50vmx0B7mPF,0.201,0.0394,0.0754,0
Crossing,08Q4GyxnB8ak1ZwHnjwova,0.542,0.189,0.0755,0
People Are Strange - Festival Mix,5b61rcrjF6JG7yq0RRaOLh,0.636,0.912,0.0765,0
Surrender,0ecC8p17cDNlxHXkuYqeR6,0.39,0.448,0.077,0
Drifting,157kvk58Qr04AiuDv2aQWd,0.616,0.202,0.0773,0
Yam Yam,1j56M8iOGH48yuKqj64qGK,0.445,0.591,0.0774,0
Some Kind Of Love,0vicQm86o7GnT42GdG34sA,0.246,0.482,0.0776,0
"Song to the Siren - Recorded at Strongroom Studios, London",0hx6wJdPlMpT254F9UYQNu,0.371,0.15,0.0785,0
The Five Times I Loved You,0W4RUo3m0jL0wHADS0PLme,0.41,0.0845,0.0795,0
